country/area,project-name,unit-name,project-name-in-local-language-/-script,unit-capacity-(mw),status,start-year,retired-year,operator,owner,lat,lng,location-accuracy,city,state/province,region,gem-unit-id,gem-location-id,url,technology
Indonesia,Ulumbo geothermal power plant,4,,2.0,operating,,,PT PLN (Persero),,-5.3058,104.577,exact,,Lampung,Asia,G100000700378,L100000700215,https://www.gem.wiki/Ulumbo_geothermal_power_plant,unknown type
Indonesia,Ulumbu geothermal power plant,--,Pembangkit Listrik Tenaga Panas Bumi Ulumbu,30.0,announced,2028,,,PT Pertamina (Persero),-8.4208167,120.8576716,approximate,,,Asia,G100001030457,L100001025664,https://www.gem.wiki/Ulumbu_geothermal_power_plant,unknown type
Türkiye,Umurlu geothermal power plant,--,,24.0,operating,2015,,,,37.78505176,29.06756647,approximate,,,Asia,G100001050613,L100001045022,https://www.gem.wiki/Umurlu_geothermal_power_plant,binary cycle
Indonesia,Ungaran geothermal power plant,--,,55.0,announced,2025,,,PT PLN (Persero) [100%],-7.1366,110.3974,approximate,,West Java,Asia,G100000700379,L100000700216,https://www.gem.wiki/Ungaran_geothermal_power_plant,unknown type
United Kingdom,United Downs geothermal power plant,--,,2.0,construction,2025,,,Geothermal Engineering Limited,50.2291,-5.166,exact,,England,Europe,G100000700461,L100000700252,https://www.gem.wiki/United_Downs_geothermal_power_plant,unknown type
Philippines,Upper Mahiao geothermal power plant,--,,125.0,operating,1996,,Energy Development CORP (EDC),Energy Development CORP (EDC),11.1729875,124.6293848,exact,,,Asia,G100001050367,L100001044848,https://www.gem.wiki/Upper_Mahiao_geothermal_power_plant,binary cycle
Italy,Valle Secolo geothermal power plant,1,Centrale geotermica di Larderello Valle Secolo,60.0,operating,1991,,Enel Green Power,Enel Green Power [100%],42.2362,10.8674,exact,,Tuscany,Europe,G100000700310,L100000700186,https://www.gem.wiki/Valle_Secolo_geothermal_power_plant,dry steam
Italy,Valle Secolo geothermal power plant,2,Centrale geotermica di Larderello Valle Secolo,60.0,operating,1991,,Enel Green Power,Enel Green Power [100%],42.2362,10.8674,exact,,Tuscany,Europe,G100000700311,L100000700186,https://www.gem.wiki/Valle_Secolo_geothermal_power_plant,dry steam
Croatia,Velika Ciglena geothermal power plant,1,Geotermalna elektrana Velika Ciglena,17.5,operating,2019,,,,45.85646,16.9461,exact,,,Europe,G100001048248,L100001042905,https://www.gem.wiki/Velika_Ciglena_geothermal_power_plant,binary cycle
El Salvador,Volcán de Conchagua geothermal power plant,--,Central geotérmica Volcán de Conchagua,30.0,shelved,,,LaGeo,LaGeo [100%],13.2753,-87.8462,approximate,,La Union,Americas,G100000700312,L100000700187,https://www.gem.wiki/Volcán_de_Conchagua_geothermal_power_plant,unknown type
United States,Vulcan-BN Geothermal plant,2,,10.0,operating,1985,,,CalEnergy Operating Corp [100%],33.1633,-115.6167,exact,,California,Americas,G100000700554,L100000700188,https://www.gem.wiki/Vulcan-BN_Geothermal_plant,unknown type
United States,Vulcan-BN Geothermal plant,Vulcan Imperial,,30.0,operating,1985,,CalEnergy Operating,CalEnergy Operating Corp [100%],33.1633,-115.6167,exact,,California,Americas,G100000700313,L100000700188,https://www.gem.wiki/Vulcan-BN_Geothermal_plant,flash steam - double
New Zealand,Wairakei Binary geothermal power plant,--,,15.0,operating,2005,,Contact Energy,Contact Energy Ltd,-38.62637159,176.1024534,approximate,,,Oceania,G100001048518,L100001043033,https://www.gem.wiki/Wairakei_Binary_geothermal_power_plant,binary cycle
New Zealand,Wairakei geothermal power plant,1996,,3.5,operating,1996,,Contact Energy,Contact Energy Ltd,-38.6266,176.1055,exact,,Waikato,Oceania,G100001048520,L100000700189,https://www.gem.wiki/Wairakei_geothermal_power_plant,unknown type
New Zealand,Wairakei geothermal power plant,A,,98.0,operating,1958,2031,Contact Energy,Contact Energy Ltd,-38.6266,176.1055,exact,,Waikato,Oceania,G100001048519,L100000700189,https://www.gem.wiki/Wairakei_geothermal_power_plant,unknown type
New Zealand,Wairakei geothermal power plant,B-11,,30.0,operating,1958,2031,Contact Energy,Contact Energy Ltd [100%],-38.6266,176.1055,exact,,Waikato,Oceania,G100000700314,L100000700189,https://www.gem.wiki/Wairakei_geothermal_power_plant,flash steam - double
New Zealand,Wairakei geothermal power plant,B-12,,30.0,operating,1958,2031,Contact Energy,Contact Energy Ltd [100%],-38.6266,176.1055,exact,,Waikato,Oceania,G100000700315,L100000700189,https://www.gem.wiki/Wairakei_geothermal_power_plant,flash steam - double
New Zealand,Wairakei geothermal power plant,B-13,,30.0,operating,1958,2031,Contact Energy,Contact Energy Ltd [100%],-38.6266,176.1055,exact,,Waikato,Oceania,G100000700316,L100000700189,https://www.gem.wiki/Wairakei_geothermal_power_plant,flash steam - double
New Zealand,Wairakei geothermal power plant,Future units,,40.0,cancelled,,,Contact Energy,Contact Energy Ltd [100%],-38.6266,176.1055,exact,,Waikato,Oceania,G100000700317,L100000700189,https://www.gem.wiki/Wairakei_geothermal_power_plant,unknown type
Japan,Waita geothermal power plant,1,わいた地熱発電所,2.0,operating,2015,,Furusato Thermal Power,,33.1395556,131.163461,approximate,,,Asia,G100001048370,L100001042964,https://www.gem.wiki/Waita_geothermal_power_plant,binary cycle
Japan,Waita geothermal power plant,2,わいた地熱発電所,35.3,construction,2026,,Furusato Thermal Power,,33.1395556,131.163461,approximate,,,Asia,G100001048372,L100001042964,https://www.gem.wiki/Waita_geothermal_power_plant,binary cycle
