country/area,project-name,fuel,unit-name,project-name-in-local-language-/-script,capacity-(mw),status,start-year,retired-year,hydrogen-capable,operator(s),owner(s),lat,lng,location-accuracy,city,state/province,region,gem-phase-id,url
Japan,Marusumi Paper Ohe Mill power station,bioenergy: paper mill wastes,5,"丸住製紙（株） 守衛所大江工場, 丸住製紙 大江工場, 丸住製紙株式会社",51.0,announced,,,,,Marusumi Paper Co Ltd [100%],34.008364,133.554393,exact,Ohe Mill,Shikoku,Asia,G100000200773,https://www.gem.wiki/Marusumi_Paper_Ohe_Mill_power_station
Australia,Maryvale Energy From Waste power station,bioenergy: refuse (municipal and industrial wastes),1,,70.0,pre-construction,2025,,,Veolia ANZ,other [100%],-38.1845,146.4477,exact,,Victoria,Oceania,G100000200453,https://www.gem.wiki/Maryvale_Energy_From_Waste_power_station
Türkiye,MAV Elektrik power station,bioenergy: agricultural waste (syngas),1,,35.0,operating,2021,,,,MAV Elektrik Üretim Sanayi ve Ticaret AS [100%],40.405,30.7881,approximate,,,Asia,G100000200224,https://www.gem.wiki/MAV_Elektrik_power_station
Germany,Maxau power station,"bioenergy: wood & other biomass (solids), bioenergy: refuse (municipal and industrial wastes), coal: anthracite",1,,41.0,operating,2010,,,,Schwarz Produktion Stiftung & Co KG [100%],49.0419,8.3134,exact,Karlsruhe,Baden-Württemberg,Europe,G100000201392,https://www.gem.wiki/Maxau_power_station
Tanzania,Mbeya Power Project,bioenergy: wood & other biomass (biocoal),"1, timepoint 2",,150.0,announced,,,,,Kibo Mining [100%],-8.9147128,33.4548536,approximate,Mbeya,Songwe,Africa,G100001020961,https://www.gem.wiki/Mbeya_Power_Project
Tanzania,Mbeya Power Project,bioenergy: wood & other biomass (biocoal),"2, timepoint 2",,150.0,announced,,,,,Kibo Mining [100%],-8.9147128,33.4548536,approximate,Mbeya,Songwe,Africa,G100001020962,https://www.gem.wiki/Mbeya_Power_Project
Brazil,Mendonça power station,bioenergy: agricultural waste (solids),1,Usina sucroenergética Mendonça,30.0,pre-construction,,,,UTE Mendonça Geração e Comercialização de Energia Elétrica,UTE Mendonça Geração e Comercialização de Energia Elétrica Ltda [100%],-21.152,-49.6119,exact,,São Paulo,Americas,G100000201505,https://www.gem.wiki/Mendonça_power_station
Italy,Mercure power station,bioenergy: wood & other biomass (solids),1,,41.0,operating,1965,,,Mercure,F2i [100%],39.9516,15.9697,approximate,,Calabria,Europe,G100000200231,https://www.gem.wiki/Mercure_power_station
Brazil,Meridiano II power station,bioenergy: agricultural waste (solids),1,Usina sucroenergética Meridiano II,30.0,operating,2012,,,COFCO International Brasil,COFCO International Brasil SA [100%],-20.3541,-50.1818,exact,Meridiano,São Paulo,Americas,G100000200619,https://www.gem.wiki/Meridiano_II_power_station
Brazil,Meridiano I power station,bioenergy: agricultural waste (solids),1,Usina sucroenergética Meridiano I,60.0,operating,2012,,,COFCO International Brasil,COFCO International Brasil SA [100%],-20.3541,-50.1818,exact,Meridiano,São Paulo,Americas,G100000200618,https://www.gem.wiki/Meridiano_I_power_station
Canada,Merritt Green Energy power station,bioenergy: wood & other biomass (solids),1,,40.0,operating,2018,,,Veolia,,50.0979,-120.796,exact,Merritt,British Columbia,Americas,G100000200401,https://www.gem.wiki/Merritt_Green_Energy_power_station
Sweden,Metsä Husum power station,bioenergy: paper mill wastes,1,,130.0,operating,2022,,,,Metsä Board [100%],63.328,19.1613,approximate,Grundsunda District,,Europe,G100000200300,https://www.gem.wiki/Metsä_Husum_power_station
Finland,Metsä Rauma power station,bioenergy: paper mill wastes,1,,75.0,operating,1996,,,,Metsä Fibre Oy [100%],61.1113,21.4648,exact,Rauma,,Europe,G100000201378,https://www.gem.wiki/Metsä_Rauma_power_station
